,RainTomorrow
62102,1
109242,1
38505,0
129136,1
71038,0
76534,0
45247,0
49847,0
140899,0
117556,0
44744,0
51243,0
132262,0
139976,0
6130,0
64498,0
143217,0
81578,1
106663,0
97733,1
36506,1
127495,0
96197,0
92620,0
51957,0
63781,0
139509,0
89617,1
51165,1
135118,0
34910,0
35842,0
37124,0
44041,1
63026,0
136723,0
92787,1
74863,0
70558,0
49779,0
123706,0
31410,1
29852,0
119859,0
139841,0
103947,0
91209,1
66294,0
73202,0
51127,1
20558,0
11548,1
117178,0
110983,0
39623,0
106008,0
28803,0
96281,1
18797,0
127720,0
34035,1
6961,0
32198,1
119179,0
43720,0
142043,1
116347,0
144043,0
134927,0
112003,0
45898,0
39107,1
99371,1
74682,0
81573,1
79231,0
86160,1
31968,0
30708,0
1888,0
4804,0
121177,0
107101,0
8664,0
73680,0
19267,0
48718,0
96097,0
43435,1
13963,0
123184,0
78924,0
2689,1
11662,0
30910,1
74136,0
89048,1
74356,0
110662,1
128853,0
59459,0
109363,0
56436,0
108214,1
3768,0
89290,0
13260,0
122746,1
75800,0
58653,0
37687,0
108979,0
30839,0
32885,0
56509,0
72628,0
61402,0
43375,0
42155,0
28500,0
99172,0
70826,0
2917,0
21150,0
10694,0
12361,0
59632,0
42294,0
113628,1
78006,0
91888,0
50882,1
96927,0
57272,1
39533,0
5083,0
84925,1
11641,1
42599,0
108251,0
92840,1
119171,0
32183,0
51859,1
142491,0
88043,1
30074,1
137320,0
132847,0
49051,0
113009,1
32082,0
60599,0
121970,0
61256,0
132716,0
100311,0
63881,0
132981,0
116433,0
143569,0
29308,0
62712,0
18563,0
89373,1
113496,0
107232,0
132670,0
116974,1
133101,0
91377,0
31879,0
76060,0
102325,0
56468,1
51438,0
4622,0
72848,0
81171,0
59751,0
41348,0
131128,0
86986,0
3413,0
82689,0
37934,0
113671,1
111850,1
31276,0
12678,1
86003,0
12137,0
62480,0
9663,0
61301,0
2815,1
143768,1
98671,0
34137,0
32360,0
130616,0
144865,0
135810,0
111038,0
138384,0
84823,1
118223,0
9373,0
86467,0
97282,1
75096,1
22462,0
115862,1
134963,0
92299,0
93676,1
31208,1
68379,1
65345,0
139199,0
100624,0
40832,0
29681,0
30477,1
56958,0
48262,0
130475,0
31719,0
113761,0
116856,1
100585,0
14196,0
51910,0
99017,0
64392,0
80321,0
65999,0
4888,0
36923,0
90822,0
94857,0
134947,0
99668,0
30702,0
95264,0
37724,0
110198,1
94551,0
32519,0
112866,0
51291,0
93226,0
69037,0
112321,0
8630,0
136953,0
122503,0
128990,0
98315,1
10496,1
87239,1
71585,0
110672,0
94419,0
117428,0
84430,0
132523,0
74938,0
6079,0
127469,0
62225,1
96479,0
80517,0
89339,1
4029,0
11895,1
21446,0
122234,1
111484,0
104430,0
11335,1
67286,0
128530,0
104979,0
1011,0
69016,1
95718,0
71953,0
493,0
127827,1
87241,1
94210,0
31961,0
77864,0
120981,1
105602,0
140160,0
85284,1
58844,0
75120,0
40283,0
31195,0
30572,0
101062,0
70852,0
42640,0
65570,0
81850,0
103592,0
70310,0
106843,0
51411,0
136991,0
131359,1
23762,0
106228,1
145168,0
1358,0
59377,0
137500,1
85165,0
70104,1
51834,0
1636,1
108147,0
40675,0
112090,0
33947,0
61091,0
2797,0
123402,0
44205,1
59306,0
116838,0
3487,0
129301,0
20628,0
39063,0
114573,0
106307,0
50972,0
76927,0
75353,0
47266,0
29601,0
75615,1
79634,0
13847,0
44232,1
132475,0
72458,0
28855,0
95119,0
80353,0
69233,0
62974,0
45270,0
131525,1
110728,0
58038,0
138844,0
133950,0
22985,0
77483,0
70684,0
63286,0
32691,1
75479,0
78953,0
89233,0
134580,0
128090,1
34488,0
139873,0
135409,0
115444,0
39432,1
145052,0
47665,0
33747,0
55542,0
105589,0
139175,0
2455,0
88681,0
57291,0
