,RainTomorrow
9194,0
14188,0
76931,0
81965,0
122598,0
85317,1
74690,0
60160,0
69486,0
17376,0
4776,0
67012,0
83676,0
10315,1
39462,0
81034,0
121959,0
116566,0
20568,0
94789,1
91118,0
86916,0
118362,0
13825,0
40853,0
89762,0
22090,0
118736,0
32489,0
40347,0
72116,1
75497,0
21300,0
50029,0
59983,0
93158,1
17825,0
34556,0
36195,0
12838,0
77604,1
87174,0
108405,1
83670,0
8218,0
12335,0
60935,0
36513,1
120151,0
101506,0
39217,0
61849,0
6415,0
50,0
58318,0
5252,1
115493,0
50387,0
30035,0
35076,0
3782,1
58684,1
8303,0
101811,1
31389,0
103833,0
121549,0
101402,0
105404,0
32851,0
2750,1
90343,0
67541,0
56041,0
88564,0
65300,1
35212,1
75482,0
2947,0
7963,0
87413,1
20050,1
29225,0
86811,1
45386,1
80440,0
27579,1
64198,0
10588,0
16807,1
26534,0
97462,0
69036,0
55328,0
87055,0
47191,0
94486,0
74644,0
10496,0
110162,0
96757,0
20969,0
39094,0
781,0
63048,0
82358,1
114713,0
31550,1
31291,0
87635,0
71016,1
98313,0
51747,0
23319,0
17987,1
109847,0
71984,1
6748,1
72993,1
86020,0
9912,1
98550,0
109604,0
34671,1
21175,0
12011,0
73111,0
88770,0
38299,1
82280,1
28807,0
108760,0
119442,0
15365,0
7756,1
90461,0
67788,0
71954,0
55611,0
53409,0
8532,0
84613,0
82077,0
101738,1
47909,0
53340,0
27772,1
32112,0
42949,0
24056,1
75235,1
50759,0
41535,0
4533,0
79939,1
61661,1
43848,0
70842,0
56621,1
28544,1
120489,0
92866,0
45848,0
18572,0
116052,0
1247,0
84363,1
13547,0
39046,0
71859,0
110591,0
98683,1
96886,0
123563,0
64471,0
66047,0
82499,0
25262,0
12687,0
109422,0
120418,0
114079,0
119026,0
73993,0
120923,1
23683,0
38566,0
82060,1
48036,0
116105,0
45793,0
84652,1
59576,1
103236,0
81343,0
53223,0
120397,0
11435,1
117044,0
65712,1
92909,0
72707,0
70341,0
6819,0
54371,0
72775,0
15427,0
91494,0
70732,0
122216,0
83215,1
49333,1
117734,0
8685,0
109068,1
86701,0
76922,1
97950,0
58432,0
44740,0
28790,0
57178,0
22787,0
9315,0
82368,0
116367,0
16567,1
52594,0
90665,0
85657,0
108106,0
90239,0
93607,0
40563,0
693,0
48953,0
38874,0
117499,0
78049,0
79849,0
101928,0
18967,0
23444,1
118644,0
31551,1
34511,0
26688,0
13240,1
55047,0
98478,0
372,0
