,RainTomorrow
9194,0
14188,0
79484,0
84518,0
125151,0
87870,1
77243,0
62713,0
72039,0
17376,0
4776,0
69565,0
86229,0
10315,1
42015,0
83587,0
124512,0
119119,0
20568,0
97342,1
93671,0
89469,0
120915,0
13825,0
43406,0
92315,0
22090,0
121289,0
32489,0
42900,0
74669,1
78050,0
21300,0
52582,0
62536,0
95711,1
17825,0
37109,0
38748,0
12838,0
80157,1
89727,0
110958,1
86223,0
8218,0
12335,0
63488,0
39066,1
122704,0
104059,0
41770,0
64402,0
6415,0
50,0
60871,0
5252,1
118046,0
52940,0
30035,0
37629,0
3782,1
61237,1
8303,0
104364,1
31389,0
106386,0
124102,0
103955,0
107957,0
35404,0
2750,1
92896,0
70094,0
58594,0
91117,0
67853,1
37765,1
78035,0
2947,0
7963,0
89966,1
20050,1
29225,0
89364,1
47939,1
82993,0
27579,1
66751,0
10588,0
16807,1
26534,0
100015,0
71589,0
57881,0
89608,0
49744,0
97039,0
77197,0
10496,0
112715,0
99310,0
20969,0
41647,0
781,0
65601,0
84911,1
117266,0
31550,1
31291,0
90188,0
73569,1
100866,0
54300,0
23319,0
17987,1
112400,0
74537,1
6748,1
75546,1
88573,0
9912,1
101103,0
112157,0
37224,1
21175,0
12011,0
75664,0
91323,0
40852,1
84833,1
28807,0
111313,0
121995,0
15365,0
7756,1
93014,0
70341,0
74507,0
58164,0
55962,0
8532,0
87166,0
84630,0
104291,1
50462,0
55893,0
27772,1
32112,0
45502,0
24056,1
77788,1
53312,0
44088,0
4533,0
82492,1
64214,1
46401,0
73395,0
59174,1
28544,1
123042,0
95419,0
48401,0
18572,0
118605,0
1247,0
86916,1
13547,0
41599,0
74412,0
113144,0
101236,1
99439,0
126116,0
67024,0
68600,0
85052,0
25262,0
12687,0
111975,0
122971,0
116632,0
121579,0
76546,0
123476,1
23683,0
41119,0
84613,1
50589,0
118658,0
48346,0
87205,1
62129,1
105789,0
83896,0
55776,0
122950,0
11435,1
119597,0
68265,1
95462,0
75260,0
72894,0
6819,0
56924,0
75328,0
15427,0
94047,0
73285,0
124769,0
85768,1
51886,1
120287,0
8685,0
111621,1
89254,0
79475,1
100503,0
60985,0
47293,0
28790,0
59731,0
22787,0
9315,0
84921,0
118920,0
16567,1
55147,0
93218,0
88210,0
110659,0
92792,0
96160,0
43116,0
693,0
51506,0
41427,0
120052,0
80602,0
82402,0
104481,0
18967,0
23444,1
121197,0
31551,1
37064,0
26688,0
13240,1
57600,0
101031,0
372,0
