Location,Climate
Cairns,Tropical
Townsville,Tropical
Darwin,Tropical
Broome,Tropical
AliceSprings,Désert
CooberPedy,Désert
Oodnadatta,Désert
Kalgoorlie,Désert
Esperance,Aride
Perth,Tempéré
Albany,Tempéré
Adelaide,Tempéré
Hobart,Tempéré
Melbourne,Tempéré
Canberra,Tempéré
Sydney,Subtropical
Newcastle,Subtropical
Wollongong,Subtropical
Brisbane,Subtropical
Launceston,Tempéré
Ballarat,Tempéré
Rockhampton,Subtropical
Mildura,Aride
Cobar,Désert
MountGambier,Tempéré
NorfolkIsland,Subtropical
WaggaWagga,Tempéré
WeeWaa,Aride
Moree,Aride
Charleville,Aride
TennantCreek,Désert
Katherine,Tropical
Giles,Désert
Portland,Tempéré
Albury,Tempéré
BadgerysCreek,Subtropical
CoffsHarbour,Subtropical
NorahHead,Subtropical
Penrith,Subtropical
Richmond,Subtropical
SydneyAirport,Subtropical
Williamtown,Subtropical
Tuggeranong,Tempéré
MountGinini,Tempéré
Bendigo,Tempéré
Sale,Tempéré
MelbourneAirport,Tempéré
Nhil,Aride
Watsonia,Tempéré
Dartmoor,Tempéré
GoldCoast,Subtropical
Nuriootpa,Tempéré
Woomera,Désert
Witchcliffe,Tempéré
PearceRAAF,Tempéré
PerthAirport,Tempéré
SalmonGums,Aride
Walpole,Tempéré
Uluru,Désert
